vertex_id,x,y,x_astar,y_astar
81,470678.28,567587.9,12103.155771428574,14595.11742857143
82,475351.38,574231.17,12223.3212,14765.944371428574
83,475385.32,574269.74,12224.193942857144,14766.936171428573
84,476756.05,574561.47,12259.441285714287,14774.4378
85,476779.99,574536.85,12260.056885714286,14773.804714285714
86,476756.27,574723.98,12259.446942857145,14778.61662857143
87,476806.38,574637.89,12260.735485714287,14776.402885714288
88,477665.41,569549.54,12282.824828571429,14645.559600000002
89,477785.47,569543.22,12285.912085714286,14645.397085714287
90,476811.13,574825.12,12260.85762857143,14781.217371428573
91,476847.19,574777.48,12261.784885714287,14779.992342857144
92,477419.16,575046.82,12276.492685714285,14786.918228571429
93,477419.92,575082.39,12276.51222857143,14787.832885714288
94,477912.71,575164.32,12289.183971428572,14789.939657142857
95,477914.22,575246.77,12289.2228,14792.0598
96,471521.57,571884.1,12124.840371428572,14705.591142857143
97,471521.18,571815.22,12124.830342857143,14703.819942857142
98,470403.71,572045.06,12096.095400000002,14709.730114285718
99,470398.7,572042.09,12095.966571428573,14709.653742857143
100,470282.07,572462.29,12092.967514285716,14720.458885714288
101,470283.36,572471.69,12093.000685714287,14720.7006
102,470215.88,572481.17,12091.265485714286,14720.944371428574
103,470293.6,572546.89,12093.264000000001,14722.634314285715
104,470518.43,572510.96,12099.045342857144,14721.7104
105,470968.43,571910.59,12110.616771428573,14706.272314285714
106,470997.33,571882.74,12111.359914285717,14705.556171428572
107,470763.06,572659.46,12105.33582857143,14725.528971428572
108,470763.66,572536.84,12105.351257142858,14722.375885714286
109,470958.46,572424.06,12110.360400000001,14719.47582857143
110,470956.29,572445.83,12110.304600000001,14720.035628571428
111,471433.02,571778.58,12122.563371428572,14702.877771428572
112,471415.19,571698.47,12122.104885714287,14700.8178
113,471482.8,572466.24,12123.843428571428,14720.560457142858
114,471519.68,572466.83,12124.791771428572,14720.575628571429
115,472053.57,573541.27,12138.520371428573,14748.204085714287
116,472031.35,573549.18,12137.949,14748.407485714288
117,471983.94,571579.55,12136.729885714287,14697.759857142859
118,471983.98,571576.48,12136.730914285716,14697.680914285715
119,471756.95,571773.7,12130.893000000002,14702.752285714285
120,471792.41,571765.3,12131.804828571429,14702.536285714288
121,471794.63,571954.01,12131.861914285715,14707.38882857143
122,471794.03,571911.8,12131.846485714288,14706.303428571431
123,471948.02,571481.39,12135.80622857143,14695.235742857145
124,472078.43,573636.94,12139.15962857143,14750.66417142857
125,472166.15,573695.02,12141.415285714287,14752.15765714286
126,472200.95,573681.67,12142.310142857144,14751.814371428574
127,471992.74,573562.91,12136.956171428572,14748.760542857144
128,472203.67,573617.59,12142.380085714287,14750.1666
129,472147.75,573632.97,12140.942142857144,14750.562085714286
130,472172.76,573659.55,12141.585257142859,14751.245571428573
131,472203.31,573620.77,12142.37082857143,14750.248371428574
132,472389.46,572839.42,12147.157542857145,14730.156514285716
133,472312.58,572783.88,12145.18062857143,14728.728342857145
134,473037.45,572463.2,12163.820142857145,14720.482285714286
135,473057.01,572467.34,12164.323114285715,14720.588742857144
136,472728.82,574127.8,12155.883942857145,14763.286285714288
137,472717.19,574153.49,12155.584885714286,14763.946885714287
138,472776.24,569908.3,12157.103314285716,14654.78485714286
139,472586.63,569854.07,12152.227628571429,14653.390371428572
140,472555.87,572247.45,12151.436657142858,14714.934428571429
141,472568.23,572328.77,12151.754485714286,14717.025514285717
142,472568.42,573799.39,12151.759371428572,14754.841457142858
143,472572.28,573838.51,12151.85862857143,14755.8474
144,472775.0,574039.17,12157.07142857143,14761.00722857143
145,472761.3,574064.14,12156.719142857144,14761.649314285716
146,472941.74,574368.27,12161.359028571429,14769.469800000003
147,472978.1,574384.5,12162.294,14769.887142857144
148,472712.16,574164.61,12155.455542857144,14764.23282857143
149,472895.31,572901.43,12160.165114285715,14731.75105714286
150,472945.35,572849.36,12161.451857142858,14730.412114285715
151,473038.39,574821.1,12163.844314285716,14781.114000000001
152,473027.3,574997.35,12163.559142857144,14785.646142857144
153,473020.56,572476.14,12163.385828571429,14720.815028571431
154,473130.0,574298.94,12166.2,14767.687028571429
155,473103.88,574285.79,12165.528342857144,14767.348885714287
156,473076.55,572202.22,12164.825571428571,14713.771371428571
157,473124.11,572189.71,12166.048542857143,14713.449685714286
158,473042.1,574297.6,12163.939714285714,14767.652571428573
159,473088.41,574320.74,12165.130542857143,14768.2476
160,473061.35,574258.32,12164.434714285715,14766.642514285713
161,473080.51,574337.22,12164.9274,14768.671371428572
162,473192.27,573950.93,12167.80122857143,14758.738200000003
163,473271.91,573951.56,12169.849114285715,14758.754400000003
164,473251.52,572513.76,12169.324800000002,14721.782400000002
165,473244.4,572509.46,12169.141714285715,14721.671828571429
166,473272.53,572076.61,12169.865057142859,14710.5414
